Frequency,DB(MAG(V(out))),PHDEG(V(out))
100,3.926842915,99.03830431
158.4893192,-0.008047051,95.72734943
251.1886432,-3.981736429,93.61455813
398.1071706,-7.970926063,92.27226845
630.9573445,-11.96588228,91.41799818
1000,-15.96203217,90.86918665
1584.893192,-19.95587705,90.50783488
2511.886432,-23.94183058,90.2560625
3981.071706,-27.9072008,90.05955924
6309.573445,-31.82103781,89.87593956
10000,-35.60839215,89.66565638
15848.93192,-39.09620213,89.38362542
25118.86432,-41.92907526,88.96990804
39810.71706,-43.54583514,88.33732088
63095.73445,-43.45148094,87.35213665
100000,-41.68653471,85.80438175
